datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10
19.03.2023;Oberbürgermeisterwahl;6411000;10;00010 - Stadtverwaltung;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;20;00020 - Justus-Liebig-Haus;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;30;00030 - Justus-Liebig-Haus;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;40;00040 - Literaturhaus;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;50;00050 - Justus-Liebig-Haus;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;60;00060 - Interimsgebäude Erasmus-Kittler-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;90;00090 - Goetheschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;100;00100 - Goetheschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;120;00120 - Stadthaus Frankf. Str.;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;130;00130 - Ehemalige Kyritzschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;140;00140 - Ehemalige Kyritzschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;150;00150 - Ehemalige Kyritzschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;180;00180 - Schillerschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;190;00190 - Schillerschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;200;00200 - Schillerschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;210;00210 - Schillerschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;220;00220 - Interimsgebäude Bertolt-Brecht-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;230;00230 - Interimsgebäude Bertolt-Brecht-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;240;00240 - Kiga Ev.Thomasgemeinde;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;250;00250 - Chr.-Morgenstern-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;260;00260 - Kiga Ev.Thomasgemeinde;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;270;00270 - Kiga Ev.Thomasgemeinde;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;280;00280 - Abendgymnasium;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;290;00290 - Abendgymnasium;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;310;00310 - Abendgymnasium;1;1;;;;;;;;0;0;0;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;320;00320 - Abendgymnasium;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;330;00330 - Abendgymnasium;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;340;00340 - Elly-Heuss-Knapp-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;350;00350 - Elly-Heuss-Knapp-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;370;00370 - Käthe-Kollwitz-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;380;00380 - Käthe-Kollwitz-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;390;00390 - Käthe-Kollwitz-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;411;00411 - Erich Kästner-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;412;00412 - Erich Kästner-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;413;00413 - Familienzentrum;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;421;00421 - Erich Kästner-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;422;00422 - Erich Kästner-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;431;00431 - Kinderhort, Jägertorstr.;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;432;00432 - Erich Kästner-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;440;00440 - Kinderhort, Jägertorstr.;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;450;00450 - Stadtteilschule Arheilg.;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;460;00460 - Stadtteilschule Arheilg.;1;0;;;;;;;;;;;;;;;;;;
